state_name,winner
Alabama,Republican
Alaska,Republican
Arizona,Democrat
Arkansas,Republican
California,Democrat
Colorado,Democrat
Connecticut,Democrat
Delaware,Democrat
District of Columbia,Democrat
Florida,Republican
Georgia,Democrat
Hawaii,Democrat
Idaho,Republican
Illinois,Democrat
Indiana,Republican
Iowa,Republican
Kansas,Republican
Kentucky,Republican
Louisiana,Republican
Maine At-Large,Democrat
Maine CD1,Democrat
Maine CD2,Republican
Maryland,Democrat
Massachusetts,Democrat
Michigan,Democrat
Minnesota,Democrat
Mississippi,Republican
Missouri,Republican
Montana,Republican
Nebraska At-Large,Republican
Nebraska CD1,Republican
Nebraska CD2,Democrat
Nebraska CD3,Republican
Nevada,Democrat
New Hampshire,Democrat
New Jersey,Democrat
New Mexico,Democrat
New York,Democrat
North Carolina,Republican
North Dakota,Republican
Ohio,Republican
Oklahoma,Republican
Oregon,Democrat
Pennsylvania,Democrat
Rhode Island,Democrat
South Carolina,Republican
South Dakota,Republican
Tennessee,Republican
Texas,Republican
Utah,Republican
Vermont,Democrat
Virginia,Democrat
Washington,Democrat
West Virginia,Republican
Wisconsin,Democrat
Wyoming,Republican
